,PISAC,PARURO,COLQUEPATA,CCATCCA,CAICAY
X252.5,19.3629570007324,21.6976757049561,18.2142162322998,18.3703880310059,18.6948509216309
X253.5,19.1856899261475,21.371057510376,17.9268131256104,18.2339267730713,18.4825077056885
X254.5,19.6734561920166,22.1056442260742,18.4520740509033,19.0606307983398,19.3698825836182
X255.5,19.2372570037842,22.0749206542969,18.3330345153809,18.8116779327393,19.1172256469727
X256.5,20.7290019989014,22.6876106262207,19.9328861236572,19.6523990631104,20.062873840332
X257.5,20.532075881958,22.0652713775635,19.6050205230713,19.1808032989502,19.6803722381592
X258.5,20.436164855957,21.8357849121094,19.4473896026611,19.1403007507324,19.617546081543
X259.5,19.8444309234619,21.6132259368896,19.0606212615967,18.7278804779053,19.2812976837158
X260.5,19.4016647338867,21.4004554748535,18.8383293151855,18.3440055847168,19.1179218292236
X261.5,20.8158683776855,22.5502281188965,20.1155223846436,19.8590717315674,20.5243453979492
X262.5,21.1369304656982,23.1655006408691,20.8962078094482,20.1993217468262,21.0979747772217
X263.5,20.6207141876221,22.9264984130859,19.5826606750488,19.8155040740967,20.0803470611572
X264.5,18.9228782653809,21.331184387207,17.7823028564453,17.8839359283447,18.2603359222412
X265.5,19.4918746948242,21.6130027770996,18.0914134979248,18.6222476959229,18.6459312438965
X266.5,19.1921806335449,21.606258392334,18.1206150054932,18.5494403839111,18.9934959411621
X267.5,19.8565082550049,22.5710544586182,18.8739624023438,19.4389724731445,19.6246795654297
X268.5,20.6380519866943,22.56809425354,19.9103717803955,19.5529041290283,20.0248031616211
X269.5,20.487850189209,22.0285205841064,19.6431732177734,19.1352958679199,19.6817874908447
X270.5,21.266960144043,22.7457847595215,20.4280338287354,19.8517742156982,20.5529365539551
X271.5,20.7028007507324,22.385612487793,19.8379688262939,19.6441440582275,19.996036529541
X272.5,21.4863262176514,23.370174407959,20.5284385681152,20.2918968200684,20.7971324920654
X273.5,21.5997676849365,23.5142345428467,20.3969459533691,20.3668327331543,20.6985054016113
X274.5,20.6130867004395,22.9287452697754,20.1485633850098,19.461009979248,20.2339324951172
X275.5,20.880651473999,23.1308174133301,19.6530857086182,20.1230010986328,20.1088066101074
X276.5,21.5902633666992,23.7991199493408,20.5249061584473,20.6097736358643,20.9609851837158
X277.5,20.6533946990967,22.6883792877197,19.930305480957,19.6846694946289,20.3413238525391
X278.5,21.2833137512207,23.6073207855225,19.8150539398193,20.7200393676758,20.7002010345459
X279.5,21.9994068145752,24.7191200256348,20.3816032409668,21.3397941589355,21.243595123291
X280.5,22.5174980163574,24.4965362548828,21.2333106994629,21.2242202758789,21.4128894805908
X281.5,20.9288520812988,22.466646194458,19.7100143432617,19.5452251434326,19.7828178405762
X282.5,21.9759960174561,23.4219875335693,20.3437271118164,20.5507984161377,20.5510883331299
X283.5,21.4359378814697,22.9919090270996,20.2404632568359,20.394401550293,20.42506980896
X284.5,21.4475135803223,23.2990703582764,20.3587951660156,20.3413028717041,20.7530097961426
X285.5,22.3061676025391,24.1646461486816,20.8757381439209,21.0180339813232,21.1813888549805
X286.5,22.3801918029785,24.5766658782959,21.0360584259033,21.1186237335205,21.189172744751
X287.5,20.15159034729,22.4607810974121,18.81813621521,19.5173377990723,19.3950138092041
X288.5,17.7648830413818,20.2893238067627,16.29465675354,16.738073348999,16.8522167205811
X289.5,18.4619884490967,20.7624473571777,17.1979141235352,17.4306411743164,17.7526359558105
X290.5,19.0125617980957,21.4503269195557,17.716667175293,18.3418045043945,18.6267108917236
X291.5,19.279842376709,22.0373573303223,17.9223957061768,18.9905242919922,18.7358150482178
X292.5,21.1690826416016,23.0472450256348,20.3242168426514,20.1095905303955,20.4433326721191
X293.5,20.0124759674072,21.5265636444092,19.1521091461182,18.6894683837891,19.2311878204346
X294.5,19.9810104370117,21.4217720031738,18.8918304443359,18.6312732696533,19.0482425689697
X295.5,20.2551651000977,21.908109664917,19.4134979248047,19.1789264678955,19.6142635345459
X296.5,21.4199848175049,23.2580089569092,20.160774230957,20.280029296875,20.5061073303223
X297.5,20.8322715759277,22.8968601226807,20.2238502502441,19.4257354736328,20.5102233886719
X298.5,20.7129516601562,23.0469970703125,19.7569427490234,19.4022102355957,19.8867645263672
X299.5,19.6228122711182,21.9723243713379,18.492359161377,18.7714080810547,18.9770412445068
X300.5,19.3850555419922,21.8570327758789,17.9927406311035,18.2588539123535,18.5433521270752
X301.5,18.7375831604004,21.0145893096924,17.5700378417969,17.6958084106445,18.100456237793
X302.5,19.7395458221436,22.1345520019531,18.4355278015137,19.1295700073242,19.3403587341309
X303.5,19.3526172637939,22.1713371276855,18.2932910919189,18.8825855255127,19.0664215087891
X304.5,20.416898727417,22.3425636291504,19.8437385559082,19.3297863006592,19.9092063903809
X305.5,19.0093402862549,20.6404590606689,18.7896270751953,17.6495475769043,18.7984619140625
X306.5,19.6936187744141,21.1692848205566,18.7992153167725,18.2657451629639,18.9268608093262
X307.5,21.2529354095459,22.8285980224609,20.4293079376221,20.1700820922852,20.5795078277588
X308.5,21.1637840270996,23.1194381713867,20.2430782318115,19.9578685760498,20.5381031036377
X309.5,22.4196949005127,24.3497905731201,21.126781463623,21.0860691070557,21.4525775909424
X310.5,20.6003837585449,23.009370803833,19.6144199371338,19.1921482086182,19.7150287628174
X311.5,19.3883285522461,21.8456573486328,18.1855087280273,18.5107765197754,18.7164878845215
X312.5,19.2188282012939,21.612060546875,17.886287689209,18.2026977539062,18.3908252716064
X313.5,18.3420677185059,20.651346206665,16.9614200592041,17.2757816314697,17.5055103302002
X314.5,18.8384914398193,21.3233585357666,17.6553897857666,18.1832828521729,18.5564937591553
X315.5,19.8559265136719,22.6542797088623,18.7656536102295,19.4027004241943,19.5429935455322
X316.5,19.5554904937744,21.3375720977783,19.3644962310791,18.5449981689453,19.3320922851562
X317.5,20.715892791748,21.9809665679932,20.1289730072021,19.4910774230957,20.1728401184082
X318.5,19.4353580474854,20.9481086730957,18.6330451965332,17.9865646362305,18.7862281799316
X319.5,20.711893081665,22.38307762146,19.6817264556885,19.609676361084,19.8505897521973
X320.5,20.790376663208,22.5453910827637,20.2284984588623,19.7501220703125,20.497953414917
X321.5,21.7906494140625,23.6184558868408,20.4050426483154,20.5078449249268,20.707649230957
X322.5,21.7658348083496,24.0023326873779,20.7669811248779,20.5496006011963,20.9071922302246
X323.5,19.9822368621826,22.1158981323242,18.9304618835449,19.3767414093018,19.4316635131836
X324.5,19.4279594421387,21.6660842895508,18.2200946807861,18.4996776580811,18.7455749511719
X325.5,20.4429016113281,22.6211643218994,19.5688896179199,19.5144882202148,20.047290802002
X326.5,20.627233505249,22.9758186340332,19.4619903564453,19.9671802520752,20.3455982208252
X327.5,20.6609802246094,23.2605628967285,19.5184440612793,20.2647800445557,20.2494602203369
X328.5,20.9860496520996,22.8799858093262,20.3834285736084,19.8575210571289,20.4682273864746
X329.5,20.7577171325684,22.3156700134277,19.8474807739258,19.3578853607178,19.8823261260986
X330.5,21.6877498626709,23.2158737182617,20.463846206665,20.1356925964355,20.6111297607422
